"","al_regs","array","sprop","panels","elcprc","price","height","profit","yldvar","yield","tav_profit","tavp_wosp"
"1","Black Belt","Fixed",0,0,0.01,17,4.6,697.382639999998,0.7,952,697.382639999998,697.382639999998
"2","Black Belt","Fixed",0,0,0.01,18,4.6,1649.38264,0.7,952,1649.38264,1649.38264
"3","Black Belt","Fixed",0,0,0.01,19,4.6,715.38264,0.6,816,715.38264,715.38264
"4","Black Belt","Fixed",0,0,0.01,20,4.6,1531.38264,0.6,816,1531.38264,1531.38264
"5","Black Belt","Fixed",0,0,0.01,21,4.6,189.38264,0.5,680,189.38264,189.38264
"6","Black Belt","Fixed",0,0,0.01,22,4.6,869.38264,0.5,680,869.38264,869.38264
"7","Black Belt","Fixed",0,0,0.01,23,4.6,1549.38264,0.5,680,1549.38264,1549.38264
"8","Black Belt","Fixed",0,0,0.01,17,6.4,697.382639999998,0.7,952,697.382639999998,697.382639999998
"9","Black Belt","Fixed",0,0,0.01,18,6.4,1649.38264,0.7,952,1649.38264,1649.38264
"10","Black Belt","Fixed",0,0,0.01,19,6.4,715.38264,0.6,816,715.38264,715.38264
"11","Black Belt","Fixed",0,0,0.01,20,6.4,1531.38264,0.6,816,1531.38264,1531.38264
"12","Black Belt","Fixed",0,0,0.01,21,6.4,189.38264,0.5,680,189.38264,189.38264
"13","Black Belt","Fixed",0,0,0.01,22,6.4,869.38264,0.5,680,869.38264,869.38264
"14","Black Belt","Fixed",0,0,0.01,23,6.4,1549.38264,0.5,680,1549.38264,1549.38264
"15","Black Belt","Fixed",0,0,0.01,17,8.2,697.382639999998,0.7,952,697.382639999998,697.382639999998
"16","Black Belt","Fixed",0,0,0.01,18,8.2,1649.38264,0.7,952,1649.38264,1649.38264
"17","Black Belt","Fixed",0,0,0.01,19,8.2,715.38264,0.6,816,715.38264,715.38264
"18","Black Belt","Fixed",0,0,0.01,20,8.2,1531.38264,0.6,816,1531.38264,1531.38264
"19","Black Belt","Fixed",0,0,0.01,21,8.2,189.38264,0.5,680,189.38264,189.38264
"20","Black Belt","Fixed",0,0,0.01,22,8.2,869.38264,0.5,680,869.38264,869.38264
"21","Black Belt","Fixed",0,0,0.01,23,8.2,1549.38264,0.5,680,1549.38264,1549.38264
"22","Black Belt","Tracking",0,0,0.01,17,4.6,697.382639999998,0.7,952,697.382639999998,697.382639999998
"23","Black Belt","Tracking",0,0,0.01,18,4.6,1649.38264,0.7,952,1649.38264,1649.38264
"24","Black Belt","Tracking",0,0,0.01,19,4.6,715.38264,0.6,816,715.38264,715.38264
"25","Black Belt","Tracking",0,0,0.01,20,4.6,1531.38264,0.6,816,1531.38264,1531.38264
"26","Black Belt","Tracking",0,0,0.01,21,4.6,189.38264,0.5,680,189.38264,189.38264
"27","Black Belt","Tracking",0,0,0.01,22,4.6,869.38264,0.5,680,869.38264,869.38264
"28","Black Belt","Tracking",0,0,0.01,23,4.6,1549.38264,0.5,680,1549.38264,1549.38264
"29","Black Belt","Tracking",0,0,0.01,17,6.4,697.382639999998,0.7,952,697.382639999998,697.382639999998
"30","Black Belt","Tracking",0,0,0.01,18,6.4,1649.38264,0.7,952,1649.38264,1649.38264
"31","Black Belt","Tracking",0,0,0.01,19,6.4,715.38264,0.6,816,715.38264,715.38264
"32","Black Belt","Tracking",0,0,0.01,20,6.4,1531.38264,0.6,816,1531.38264,1531.38264
"33","Black Belt","Tracking",0,0,0.01,21,6.4,189.38264,0.5,680,189.38264,189.38264
"34","Black Belt","Tracking",0,0,0.01,22,6.4,869.38264,0.5,680,869.38264,869.38264
"35","Black Belt","Tracking",0,0,0.01,23,6.4,1549.38264,0.5,680,1549.38264,1549.38264
"36","Black Belt","Tracking",0,0,0.01,17,8.2,697.382639999998,0.7,952,697.382639999998,697.382639999998
"37","Black Belt","Tracking",0,0,0.01,18,8.2,1649.38264,0.7,952,1649.38264,1649.38264
"38","Black Belt","Tracking",0,0,0.01,19,8.2,715.38264,0.6,816,715.38264,715.38264
"39","Black Belt","Tracking",0,0,0.01,20,8.2,1531.38264,0.6,816,1531.38264,1531.38264
"40","Black Belt","Tracking",0,0,0.01,21,8.2,189.38264,0.5,680,189.38264,189.38264
"41","Black Belt","Tracking",0,0,0.01,22,8.2,869.38264,0.5,680,869.38264,869.38264
"42","Black Belt","Tracking",0,0,0.01,23,8.2,1549.38264,0.5,680,1549.38264,1549.38264
"43","Central","Fixed",0,0,0.01,17,4.6,697.382639999998,0.7,952,697.382639999998,697.382639999998
"44","Central","Fixed",0,0,0.01,18,4.6,1649.38264,0.7,952,1649.38264,1649.38264
"45","Central","Fixed",0,0,0.01,19,4.6,715.38264,0.6,816,715.38264,715.38264
"46","Central","Fixed",0,0,0.01,20,4.6,1531.38264,0.6,816,1531.38264,1531.38264
"47","Central","Fixed",0,0,0.01,21,4.6,189.38264,0.5,680,189.38264,189.38264
"48","Central","Fixed",0,0,0.01,22,4.6,869.38264,0.5,680,869.38264,869.38264
"49","Central","Fixed",0,0,0.01,23,4.6,1549.38264,0.5,680,1549.38264,1549.38264
"50","Central","Fixed",0,0,0.01,17,6.4,697.382639999998,0.7,952,697.382639999998,697.382639999998
"51","Central","Fixed",0,0,0.01,18,6.4,1649.38264,0.7,952,1649.38264,1649.38264
"52","Central","Fixed",0,0,0.01,19,6.4,715.38264,0.6,816,715.38264,715.38264
"53","Central","Fixed",0,0,0.01,20,6.4,1531.38264,0.6,816,1531.38264,1531.38264
"54","Central","Fixed",0,0,0.01,21,6.4,189.38264,0.5,680,189.38264,189.38264
"55","Central","Fixed",0,0,0.01,22,6.4,869.38264,0.5,680,869.38264,869.38264
"56","Central","Fixed",0,0,0.01,23,6.4,1549.38264,0.5,680,1549.38264,1549.38264
"57","Central","Fixed",0,0,0.01,17,8.2,697.382639999998,0.7,952,697.382639999998,697.382639999998
"58","Central","Fixed",0,0,0.01,18,8.2,1649.38264,0.7,952,1649.38264,1649.38264
"59","Central","Fixed",0,0,0.01,19,8.2,715.38264,0.6,816,715.38264,715.38264
"60","Central","Fixed",0,0,0.01,20,8.2,1531.38264,0.6,816,1531.38264,1531.38264
"61","Central","Fixed",0,0,0.01,21,8.2,189.38264,0.5,680,189.38264,189.38264
"62","Central","Fixed",0,0,0.01,22,8.2,869.38264,0.5,680,869.38264,869.38264
"63","Central","Fixed",0,0,0.01,23,8.2,1549.38264,0.5,680,1549.38264,1549.38264
"64","Central","Tracking",0,0,0.01,17,4.6,697.382639999998,0.7,952,697.382639999998,697.382639999998
"65","Central","Tracking",0,0,0.01,18,4.6,1649.38264,0.7,952,1649.38264,1649.38264
"66","Central","Tracking",0,0,0.01,19,4.6,715.38264,0.6,816,715.38264,715.38264
"67","Central","Tracking",0,0,0.01,20,4.6,1531.38264,0.6,816,1531.38264,1531.38264
"68","Central","Tracking",0,0,0.01,21,4.6,189.38264,0.5,680,189.38264,189.38264
"69","Central","Tracking",0,0,0.01,22,4.6,869.38264,0.5,680,869.38264,869.38264
"70","Central","Tracking",0,0,0.01,23,4.6,1549.38264,0.5,680,1549.38264,1549.38264
"71","Central","Tracking",0,0,0.01,17,6.4,697.382639999998,0.7,952,697.382639999998,697.382639999998
"72","Central","Tracking",0,0,0.01,18,6.4,1649.38264,0.7,952,1649.38264,1649.38264
"73","Central","Tracking",0,0,0.01,19,6.4,715.38264,0.6,816,715.38264,715.38264
"74","Central","Tracking",0,0,0.01,20,6.4,1531.38264,0.6,816,1531.38264,1531.38264
"75","Central","Tracking",0,0,0.01,21,6.4,189.38264,0.5,680,189.38264,189.38264
"76","Central","Tracking",0,0,0.01,22,6.4,869.38264,0.5,680,869.38264,869.38264
"77","Central","Tracking",0,0,0.01,23,6.4,1549.38264,0.5,680,1549.38264,1549.38264
"78","Central","Tracking",0,0,0.01,17,8.2,697.382639999998,0.7,952,697.382639999998,697.382639999998
"79","Central","Tracking",0,0,0.01,18,8.2,1649.38264,0.7,952,1649.38264,1649.38264
"80","Central","Tracking",0,0,0.01,19,8.2,715.38264,0.6,816,715.38264,715.38264
"81","Central","Tracking",0,0,0.01,20,8.2,1531.38264,0.6,816,1531.38264,1531.38264
"82","Central","Tracking",0,0,0.01,21,8.2,189.38264,0.5,680,189.38264,189.38264
"83","Central","Tracking",0,0,0.01,22,8.2,869.38264,0.5,680,869.38264,869.38264
"84","Central","Tracking",0,0,0.01,23,8.2,1549.38264,0.5,680,1549.38264,1549.38264
"85","Northern","Fixed",0,0,0.01,17,4.6,697.382639999998,0.7,952,697.382639999998,697.382639999998
"86","Northern","Fixed",0,0,0.01,18,4.6,1649.38264,0.7,952,1649.38264,1649.38264
"87","Northern","Fixed",0,0,0.01,19,4.6,715.38264,0.6,816,715.38264,715.38264
"88","Northern","Fixed",0,0,0.01,20,4.6,1531.38264,0.6,816,1531.38264,1531.38264
"89","Northern","Fixed",0,0,0.01,21,4.6,189.38264,0.5,680,189.38264,189.38264
"90","Northern","Fixed",0,0,0.01,22,4.6,869.38264,0.5,680,869.38264,869.38264
"91","Northern","Fixed",0,0,0.01,23,4.6,1549.38264,0.5,680,1549.38264,1549.38264
"92","Northern","Fixed",0,0,0.01,17,6.4,697.382639999998,0.7,952,697.382639999998,697.382639999998
"93","Northern","Fixed",0,0,0.01,18,6.4,1649.38264,0.7,952,1649.38264,1649.38264
"94","Northern","Fixed",0,0,0.01,19,6.4,715.38264,0.6,816,715.38264,715.38264
"95","Northern","Fixed",0,0,0.01,20,6.4,1531.38264,0.6,816,1531.38264,1531.38264
"96","Northern","Fixed",0,0,0.01,21,6.4,189.38264,0.5,680,189.38264,189.38264
"97","Northern","Fixed",0,0,0.01,22,6.4,869.38264,0.5,680,869.38264,869.38264
"98","Northern","Fixed",0,0,0.01,23,6.4,1549.38264,0.5,680,1549.38264,1549.38264
"99","Northern","Fixed",0,0,0.01,17,8.2,697.382639999998,0.7,952,697.382639999998,697.382639999998
"100","Northern","Fixed",0,0,0.01,18,8.2,1649.38264,0.7,952,1649.38264,1649.38264
"101","Northern","Fixed",0,0,0.01,19,8.2,715.38264,0.6,816,715.38264,715.38264
"102","Northern","Fixed",0,0,0.01,20,8.2,1531.38264,0.6,816,1531.38264,1531.38264
"103","Northern","Fixed",0,0,0.01,21,8.2,189.38264,0.5,680,189.38264,189.38264
"104","Northern","Fixed",0,0,0.01,22,8.2,869.38264,0.5,680,869.38264,869.38264
"105","Northern","Fixed",0,0,0.01,23,8.2,1549.38264,0.5,680,1549.38264,1549.38264
"106","Northern","Tracking",0,0,0.01,17,4.6,697.382639999998,0.7,952,697.382639999998,697.382639999998
"107","Northern","Tracking",0,0,0.01,18,4.6,1649.38264,0.7,952,1649.38264,1649.38264
"108","Northern","Tracking",0,0,0.01,19,4.6,715.38264,0.6,816,715.38264,715.38264
"109","Northern","Tracking",0,0,0.01,20,4.6,1531.38264,0.6,816,1531.38264,1531.38264
"110","Northern","Tracking",0,0,0.01,21,4.6,189.38264,0.5,680,189.38264,189.38264
"111","Northern","Tracking",0,0,0.01,22,4.6,869.38264,0.5,680,869.38264,869.38264
"112","Northern","Tracking",0,0,0.01,23,4.6,1549.38264,0.5,680,1549.38264,1549.38264
"113","Northern","Tracking",0,0,0.01,17,6.4,697.382639999998,0.7,952,697.382639999998,697.382639999998
"114","Northern","Tracking",0,0,0.01,18,6.4,1649.38264,0.7,952,1649.38264,1649.38264
"115","Northern","Tracking",0,0,0.01,19,6.4,715.38264,0.6,816,715.38264,715.38264
"116","Northern","Tracking",0,0,0.01,20,6.4,1531.38264,0.6,816,1531.38264,1531.38264
"117","Northern","Tracking",0,0,0.01,21,6.4,189.38264,0.5,680,189.38264,189.38264
"118","Northern","Tracking",0,0,0.01,22,6.4,869.38264,0.5,680,869.38264,869.38264
"119","Northern","Tracking",0,0,0.01,23,6.4,1549.38264,0.5,680,1549.38264,1549.38264
"120","Northern","Tracking",0,0,0.01,17,8.2,697.382639999998,0.7,952,697.382639999998,697.382639999998
"121","Northern","Tracking",0,0,0.01,18,8.2,1649.38264,0.7,952,1649.38264,1649.38264
"122","Northern","Tracking",0,0,0.01,19,8.2,715.38264,0.6,816,715.38264,715.38264
"123","Northern","Tracking",0,0,0.01,20,8.2,1531.38264,0.6,816,1531.38264,1531.38264
"124","Northern","Tracking",0,0,0.01,21,8.2,189.38264,0.5,680,189.38264,189.38264
"125","Northern","Tracking",0,0,0.01,22,8.2,869.38264,0.5,680,869.38264,869.38264
"126","Northern","Tracking",0,0,0.01,23,8.2,1549.38264,0.5,680,1549.38264,1549.38264
"127","Southern","Fixed",0,0,0.01,17,4.6,697.382639999998,0.7,952,697.382639999998,697.382639999998
"128","Southern","Fixed",0,0,0.01,18,4.6,1649.38264,0.7,952,1649.38264,1649.38264
"129","Southern","Fixed",0,0,0.01,19,4.6,715.38264,0.6,816,715.38264,715.38264
"130","Southern","Fixed",0,0,0.01,20,4.6,1531.38264,0.6,816,1531.38264,1531.38264
"131","Southern","Fixed",0,0,0.01,21,4.6,189.38264,0.5,680,189.38264,189.38264
"132","Southern","Fixed",0,0,0.01,22,4.6,869.38264,0.5,680,869.38264,869.38264
"133","Southern","Fixed",0,0,0.01,23,4.6,1549.38264,0.5,680,1549.38264,1549.38264
"134","Southern","Fixed",0,0,0.01,17,6.4,697.382639999998,0.7,952,697.382639999998,697.382639999998
"135","Southern","Fixed",0,0,0.01,18,6.4,1649.38264,0.7,952,1649.38264,1649.38264
"136","Southern","Fixed",0,0,0.01,19,6.4,715.38264,0.6,816,715.38264,715.38264
"137","Southern","Fixed",0,0,0.01,20,6.4,1531.38264,0.6,816,1531.38264,1531.38264
"138","Southern","Fixed",0,0,0.01,21,6.4,189.38264,0.5,680,189.38264,189.38264
"139","Southern","Fixed",0,0,0.01,22,6.4,869.38264,0.5,680,869.38264,869.38264
"140","Southern","Fixed",0,0,0.01,23,6.4,1549.38264,0.5,680,1549.38264,1549.38264
"141","Southern","Fixed",0,0,0.01,17,8.2,697.382639999998,0.7,952,697.382639999998,697.382639999998
"142","Southern","Fixed",0,0,0.01,18,8.2,1649.38264,0.7,952,1649.38264,1649.38264
"143","Southern","Fixed",0,0,0.01,19,8.2,715.38264,0.6,816,715.38264,715.38264
